batch_size,target_output_tokens,count,request_count,avg_generated_tokens,std_generated_tokens,avg_power_w,std_power_w,peak_power_w,avg_energy_j,std_energy_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,std_dynamic_energy_j,avg_context_total_tokens,avg_approx_kv_pressure,avg_normalized_kv_blocks,avg_idle_baseline_w,enable_chunked_prefill,max_num_batched_tokens,max_num_seqs,queue_seed,sampling_seed,scheduler_signature,avg_ttft_ms,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,std_ttft_ms,avg_tbt_ms,mean_tbt_ms,p50_tbt_ms,p95_tbt_ms,p99_tbt_ms,std_tbt_ms,avg_e2e_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,std_e2e_ms
2,40,5,10,40.0,0.0,186.17200895051545,1.507468697834181,230.46180000000004,489.6797847398281,9.425047622952652,128.76056450607103,1.5074686978341894,338.6798251321369,7.509833427852764,82.0,42.0,3.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,104.13077999837697,104.13077999837697,91.04236349230632,157.90373944910243,158.9215847128071,28.285935587425172,66.74268680523173,66.74268680523173,66.76569582076553,66.81456256162328,66.81765115754202,0.08533992287588112,2707.0955654024146,2707.0955654024146,2696.105261973571,2761.472102557309,2762.5534741813317,28.852221770353815
2,50,5,10,50.0,0.0,193.59671938764123,5.598188566523692,230.5458,639.0679285587199,22.781833563028755,136.18527494319682,5.5981885665236915,449.5759556924867,21.359665790376127,102.0,52.0,4.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,104.04718030476943,104.04718030476943,91.00542904343456,156.88684663618915,157.0554389373865,27.854761117581162,66.79806498601576,66.79806498601576,66.78661014243238,66.84035217396593,66.8428903211583,0.026585908581181483,3377.152364619542,3377.152364619542,3364.5275000017136,3429.2707485554274,3429.403797731502,27.514321436237417
2,75,5,10,75.0,0.0,207.469180642058,0.7857559557254808,230.68040000000002,1032.5132800580977,10.931733116634824,150.05773619761356,0.7857559557254756,746.798328817521,8.894272208971145,152.0,77.0,5.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,110.77595892129466,110.77595892129466,92.04414754640311,157.06877578631975,157.46909041074105,31.77673645647732,66.7065646242967,66.7065646242967,66.77585526375805,66.80191160341712,66.81087863422313,0.10474331702435112,5047.061741119251,5047.061741119251,5033.933767990675,5098.465589649277,5098.747279556701,32.727939257389394
2,100,5,10,100.0,0.0,210.05754311434913,4.3109254423006895,228.96599999999998,1387.9555765634536,31.692659816804895,152.6460986699047,4.310925442300726,1008.6186075209513,30.543122730168687,202.0,102.0,7.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,97.97617580043152,97.97617580043152,90.44872649246827,129.49927925947117,152.03057263395752,21.058876357886888,66.59659175249287,66.59659175249287,66.5857842523661,66.80538666380494,66.81067515110522,0.21155056480207043,6691.038759297226,6691.038759297226,6682.321133499499,6740.048716985621,6763.116757054813,32.950743289602016
2,150,5,10,150.0,0.0,219.4027069696076,0.6243351010134247,230.86099999999996,2188.038105111193,10.026591274954946,161.99126252516314,0.6243351010134124,1615.4919471614965,8.779254280337932,302.0,152.0,10.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,103.57434632023796,103.57434632023796,90.3966695186682,156.62629775470123,156.82865877402946,27.94852150392997,66.7467190859833,66.7467190859833,66.78840993308219,66.80600198427992,66.80610757544575,0.09932864858002484,10048.83549013175,10048.83549013175,10043.122826027684,10092.046250851126,10104.554298199948,25.83463324584931
2,200,5,10,200.0,0.0,221.7632180512925,1.681205133389591,231.14539999999997,2959.8073598169335,27.028316482817722,164.3517736068481,1.6812051333895945,2193.556629442736,25.368829501957595,402.0,202.0,13.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,116.88900130102411,116.88900130102411,91.25630150083452,192.63764009228902,216.1134639836382,46.03272732643781,66.79881963517339,66.79881963517339,66.79908987444746,66.80797740036677,66.80854595244053,0.00730772443109086,13409.854108700529,13409.854108700529,13385.210833046585,13485.484286374412,13508.16267322283,45.678718805886625
2,300,5,10,300.0,0.0,225.1533956678154,0.48131061762101496,231.321,4488.405152975461,16.029614187368125,167.74195122337093,0.48131061762101784,3343.917201353562,14.182653330236114,602.0,302.0,19.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,91.17128060897812,91.17128060897812,91.21409401996061,91.41242555342615,91.41564034856856,0.2236012678345838,66.6669797585237,66.6669797585237,66.58095512212095,66.81151955180573,66.81445800793516,0.11913066924281515,20024.598228407558,20024.598228407558,19998.98499652045,20068.056771543343,20068.93858472118,35.776313043448894
4,10,5,20,10.0,0.0,111.3623601569969,6.348487233906932,140.6658,82.53693296353818,4.849979672046638,54.29202682366356,6.348487233906923,40.242333363366136,4.770479959627622,44.0,24.0,1.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,166.7874320584815,166.7874320584815,192.38152750767767,228.9504678978119,229.10483675193973,64.61771036743157,67.4505353510742,67.4505353510742,67.45714984006352,67.8215361361961,67.83769415807912,0.19201606321799267,773.8422502181493,773.8422502181493,799.8252855031751,835.6036274402868,835.7058390171733,64.43378679082912
4,20,5,20,20.0,0.0,148.0189326967708,3.3386864068628763,213.7856,204.18621130158903,9.62267901152844,90.94859936343745,3.33868640686287,125.4930115598917,7.671704762916849,84.0,44.0,2.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,147.81444538966753,147.81444538966753,159.77838647086173,225.805116770789,226.0975616890937,51.03624405788075,67.56111893459762,67.56111893459762,67.5376629469132,67.68360170658285,67.76939966838415,0.0915532473695007,1431.4757051470224,1431.4757051470224,1443.259894498624,1508.7499495071825,1508.9597322500776,50.51139660666894
4,40,5,20,40.0,0.0,188.8375430961611,0.9933170603148411,229.48999999999995,522.3389743606805,3.4530873056926845,131.76720976282778,0.9933170603148493,364.4789825906991,3.23707099246794,164.0,84.0,3.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,168.75455480767414,168.75455480767414,159.1243805596605,227.08985331119038,227.13057944667526,58.563579970596,67.47107579617594,67.47107579617594,67.50451672959548,67.58925259002866,67.62503962483234,0.10242881388791301,2800.1265108585358,2800.1265108585358,2795.4984755488113,2860.8971054840367,2862.603253092384,58.455752185427635
