experiment_id,target_input_tokens,avg_actual_input_tokens,num_samples,avg_duration_ms,std_duration_ms,avg_ttft_ms,std_ttft_ms,avg_power_w,std_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,avg_active_power_w,std_active_power_w,active_median_power_w,active_p95_power_w,avg_active_sample_fraction,avg_energy_j,avg_energy_per_request_j,std_energy_j,avg_dynamic_energy_per_request_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,std_dynamic_energy_j,avg_idle_baseline_w,status_ok_count,status_error_count
prefill_token_power_modeling_1777904889,64,64.0,5,3041.375684738159,8.849440097851991,70.69731756698253,0.20603314043425985,175.21835031316365,4.754390866414467,220.395,220.9446,225.326,55.697,204.20910794915986,9.468655845781342,220.7292,220.9446,0.7808909528723771,532.9178552372695,12.393438493889986,15.133660572613074,7.770650332603748,109.8598048586182,4.754390866414467,334.1379643019611,14.869427091504251,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,96,96.0,5,3032.9087257385254,15.751282961558681,73.93952346429592,0.38284636539755984,181.79641992604826,4.31925195582487,226.9678,228.702,229.559,57.428,210.79383195432956,5.623587469688444,228.0752,228.702,0.791486068111455,551.3409508298158,13.447340264141848,11.694325976594788,8.61254751266212,116.4378744715028,4.31925195582487,353.1144480191469,12.139123232736754,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,128,128.0,5,3033.422565460205,18.02256197596638,73.95267253968774,0.43592440684369893,181.69921049317315,5.96043614912055,231.72560000000001,233.17340000000002,234.592,48.632,212.66901551438704,10.306240628084796,232.7656,233.17340000000002,0.7810192114489574,551.1734340888023,13.443254489970789,18.520048524148102,8.607642621007992,116.34066503862772,5.96043614912055,352.91334746132765,18.308126195702304,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,160,160.0,5,3018.822479248047,5.293246341164307,83.82121589448717,0.14849604151969134,195.56059294080046,5.695739106792101,243.3794,245.0594,246.331,57.709,223.49474536141852,7.877427791705955,244.5576,245.0594,0.8175845242244685,590.3584068815708,16.39884463559919,17.041751673910635,10.918126684789826,130.20204748625503,5.695739106792099,393.0525606524338,17.086253784018513,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,192,192.0,5,3018.578624725342,10.490662811130765,83.81450706058078,0.28915643841080363,194.29188727053912,3.692857306993943,248.7886,250.9606,251.82,55.683,228.3341477341806,11.247049425924695,250.1318,250.9606,0.7781369815266643,586.5064214513778,16.29184504031605,12.619984437048727,10.811569811087425,128.93334181599366,3.692857306993948,389.2165131991473,12.105792579170522,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,224,224.0,5,3015.288782119751,6.1191163378503575,86.11491067068917,0.17628035378607354,200.8696758000936,4.782928642122935,246.8786,251.8564,253.451,56.821,230.18019179024745,4.894025547679658,251.2344,251.8564,0.8138027187173231,605.6810379395961,17.30517251255989,14.51149864568842,11.674461400424038,135.51113034554817,4.782928642122939,408.6061490148414,14.466667333494899,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,256,256.0,5,3027.564525604248,6.622063967679186,86.46527699061802,0.18801017694835626,201.14320795910498,1.403395677993448,250.352,254.6932,255.17,57.979,233.5530977157832,6.86867705146164,253.7534,254.7388,0.7955733705123736,608.9764411627056,17.399326890363017,4.851310314227171,11.745692214269456,135.78466250455955,1.403395677993456,411.099227499431,4.623335693265846,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,288,288.0,5,3028.2875537872314,39.86936368663497,100.23651851120816,0.39525345706636295,207.1533641285784,1.9547030796229186,259.479,260.0498,261.513,56.353,234.01654972669218,7.847425007798457,259.6512,260.0498,0.8347168404965547,627.328581329751,20.773135614300774,10.780828114038354,14.219185921305373,141.79481867403294,1.9547030796229188,429.404111596114,8.705637921445527,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,320,320.0,5,3044.9888229370117,8.029514360196131,101.46239121754964,0.2665710725884855,207.01359695747317,4.019069495276393,255.5626,257.58,259.36,57.824,233.0854764239192,10.235171908159588,256.7864,257.58,0.8363322521991252,630.3604051654328,21.012013505514428,12.745255209265286,14.37814549243071,141.6550515029277,4.019069495276392,431.3443647729213,12.562365847950526,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,352,352.0,5,3134.003782272339,4.448735349019291,104.42666212717691,0.14461972307289458,210.0671438352641,3.7311352967189735,262.6076,263.5142,267.853,56.623,231.75652181017082,12.293161630246445,262.664,263.5142,0.8651052164798839,658.3495026940584,21.94498342313528,11.619361676177968,15.117185801189814,144.70859838071863,3.7311352967189695,453.51557403569444,11.63765310404919,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,384,384.0,5,3143.777322769165,9.02235572369761,104.74792003631592,0.29736162163763175,207.31193708836713,7.331505473652353,263.3954,265.1146,267.706,45.913,234.13046371568262,12.26814745450758,263.9624,265.1146,0.8374506167862614,651.7365307445765,21.724551024819217,22.91770363880836,14.875460589846625,141.9533916338217,7.33150547365236,446.2638176953988,22.94403090686685,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,416,416.0,5,3538.585615158081,6.954236292910992,117.9131015141805,0.23187718682628175,220.58740061055911,3.573596373571101,261.9606,263.3554,264.663,53.948,247.34835312701856,3.788908777360494,262.5794,263.3554,0.8418079096045198,780.5802241873266,26.01934080624422,13.688715852848675,18.310113847140553,155.22885515601368,3.573596373571101,549.3034154142165,13.370539918132526,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,448,448.0,5,3562.416648864746,17.684091172187166,118.70494365692139,0.5873454378851728,222.31327181869145,6.014224042197905,266.3782,267.46,272.504,56.676,246.72631294674835,7.542910340655106,266.5462,267.46,0.8564639539558603,791.9331131975567,26.397770439918556,19.95512736704203,18.636624757490022,156.954726364146,6.014224042197908,559.0987427247007,20.33730315147215,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,480,480.0,5,3639.3950939178467,10.075125863647557,121.27314885457356,0.3342860203325063,226.88931250546753,3.536084919269516,265.2072,265.818,266.429,49.157,244.12041454197083,5.380167708197894,265.407,265.818,0.9023179006785564,825.7512713010073,27.52504237670024,13.945316242897732,19.59619005427093,161.53076705092207,3.536084919269506,587.885701628128,13.604783159040869,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,512,512.0,5,3657.1919441223145,11.396349536673553,121.85591697692871,0.37790090811439225,228.1471994528026,5.389546954659172,268.204,269.18118,271.92,55.515,247.3182465305216,7.712860878687369,268.366,269.18760000000003,0.888336805745929,834.3862877571675,27.81287625857225,20.27098300100808,19.84525139470839,162.78865399825713,5.389546954659172,595.3575418412516,20.067957798429376,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,640,640.0,3,3136.7889245351157,2.331163481129816,142.5402814691717,0.10655904002444189,214.3113197398749,1.822490733409842,260.95233333333334,262.3066666666667,264.017,56.336,241.7333320916407,7.310590582054578,261.063,262.3066666666667,0.8301486199575372,672.2521128773292,30.55691422169678,6.201062496772764,21.238006880535732,148.95277428532947,1.8224907334098268,467.2361513717861,6.053062341645528,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,768,768.0,3,3103.472948074341,81.12396385269327,157.76718457539877,0.5234449499518746,230.6864719233757,1.903251589429256,276.53933333333333,277.4083166666667,277.865,58.566,258.0852787703815,2.290744899508723,276.53933333333333,277.4796666666667,0.8419258389918127,715.8703203209243,36.40600751942365,16.155358379051904,26.091524118354197,165.32792646883024,1.9032515894292625,513.0318425772552,11.220819479574477,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,896,896.0,3,3122.603098551432,13.675282630416323,173.43139206921612,0.7579386407114027,232.19247148677152,6.260677575404728,273.378,275.23,276.097,58.571,248.76475181522716,7.772261328701152,273.378,275.23,0.9040639120256955,724.9882211961745,40.27712339978748,16.435282443676606,28.938856924610906,166.83392603222606,6.260677575404728,520.8994246429963,17.32153065012616,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,1024,1026.0,3,3117.1313921610513,2.2160092393603894,207.75522126091852,0.14285132822260305,226.4230467823116,5.374206831898488,267.426,269.71366666666665,270.064,55.392,243.5623416252073,15.120050107411041,267.426,269.71366666666665,0.8956121726822364,705.7954360786275,47.0530290719085,17.073205469419776,33.47095081975193,161.06450132776612,5.374206831898494,502.06426229627886,16.97890075930066,65.35854545454545,3,0
