timestamp,relative_time,power_w,memory_gb,temperature_c,graphics_clock_mhz,memory_clock_mhz
1777905539.8952007,648.5596370697021,210.899,15.34222412109375,61,2760.0,11251.0
1777905539.9153621,648.5797984600067,210.899,15.34222412109375,61,2760.0,11251.0
1777905539.9355958,648.6000320911407,210.899,15.34222412109375,61,2760.0,11251.0
1777905539.955789,648.6202254295349,210.899,15.34222412109375,61,2760.0,11251.0
1777905539.9759564,648.640392780304,210.899,15.34222412109375,61,2760.0,11251.0
1777905539.99612,648.6605563163757,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.0162795,648.6807157993317,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.036443,648.7008793354034,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.0566015,648.7210378646851,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.0767639,648.7412002086639,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.0969198,648.7613561153412,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.117086,648.7815222740173,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.137266,648.8017022609711,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.157449,648.8218853473663,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.1776152,648.8420515060425,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.1977692,648.8622055053711,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.21793,648.8823664188385,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.238092,648.9025282859802,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.2582607,648.9226970672607,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.2784176,648.9428539276123,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.2986,648.9630362987518,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.318809,648.9832453727722,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.3389866,649.0034229755402,210.899,15.34222412109375,61,2760.0,11251.0
1777905540.359142,649.0235784053802,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.3792999,649.0437362194061,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.3994691,649.0639054775238,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.4196289,649.0840651988983,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.439827,649.1042633056641,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.4600186,649.1244549751282,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.4802353,649.1446716785431,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.5004268,649.1648631095886,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.5206199,649.1850562095642,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.5408196,649.20525598526,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.5610123,649.2254486083984,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.5812826,649.2457189559937,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.6014872,649.265923500061,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.621682,649.2861182689667,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.6418757,649.306312084198,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.6620507,649.3264870643616,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.6823285,649.3467648029327,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.7025225,649.3669588565826,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.7227147,649.3871510028839,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.742916,649.4073524475098,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.7631123,649.4275486469269,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.7833014,649.4477376937866,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.8034856,649.4679219722748,210.669,15.34222412109375,62,2760.0,11251.0
