experiment_id,target_input_tokens,actual_input_tokens,repeat_id,prompt_source,start_time,end_time,duration_ms,ttft_ms,measurement_mode,block_request_count,block_success_count,block_error_count,block_warmup_requests,block_min_requests_used,block_max_requests_used,avg_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,active_avg_power_w,active_median_power_w,active_p95_power_w,active_sample_count,active_sample_fraction,active_power_threshold_w,energy_j,energy_per_request_j,idle_baseline_w,dynamic_power_w,dynamic_energy_j,dynamic_energy_per_request_j,power_sample_count,status,error,first_ttft_ms,min_ttft_ms,max_ttft_ms,prompt_generation_ms,add_unique_prefix
prefill_token_power_modeling_1777904889,2,2,5,generated,1777905097.4623127,1777905100.5080347,3045.722007751465,70.79907905223757,block,43,43,0,2,30,100,164.7056469387422,207.621,210.298,210.298,57.477,199.9318532110092,208.263,210.298,109,0.7124183006535948,95.35854545454544,501.6476136822698,11.666223574006274,65.35854545454545,99.34710148419676,302.5836533967363,7.036829148761309,151,ok,,73.93407821655273,70.01662254333496,80.81936836242676,13.506650924682615,False
prefill_token_power_modeling_1777904889,40,40,1,generated,1777905102.9088783,1777905105.9677818,3058.903455734253,71.09919814176338,block,43,43,0,2,30,100,170.8505900667274,213.578,213.75075,213.988,57.461,190.0542213740458,213.578,213.988,131,0.8506493506493507,95.35854545454544,522.6154603693486,12.153847915566248,65.35854545454545,105.49204461218194,322.6899798166753,7.504418135271519,152,ok,,75.42014122009277,70.42884826660156,75.42014122009277,40.74358940124512,False
prefill_token_power_modeling_1777904889,448,448,4,generated,1777905108.6000147,1777905112.1925418,3592.527151107788,119.7048266728719,block,30,30,0,2,30,100,215.13792683458632,263.171,264.907,264.907,58.494,249.1858881118881,263.171,264.907,143,0.7944444444444444,95.35854545454544,772.8888433862921,25.762961446209736,65.35854545454545,149.7793813800409,538.086494283925,17.936216476130834,178,ok,,119.90785598754884,118.47281455993652,121.02437019348145,168.12562942504883,False
prefill_token_power_modeling_1777904889,4000,4000,2,generated,1777905116.6754806,1777905119.8483136,3172.83296585083,634.4177722930908,block,5,5,0,2,3,5,278.37583909374075,280.707,286.12,286.12,221.114,277.8450566037736,280.707,286.12,159,1.0,95.35854545454544,883.240039173007,176.6480078346014,65.35854545454545,213.0172936391953,675.8682915547652,135.17365831095304,157,ok,,631.9265365600586,631.497859954834,636.5299224853516,1004.7969818115234,False
prefill_token_power_modeling_1777904889,896,896,2,generated,1777905122.5297055,1777905125.6678889,3138.183355331421,174.29464393191867,block,18,18,0,2,10,30,225.23906244522783,271.15,274.502,274.502,65.993,243.01712765957447,271.15,274.502,141,0.8980891719745223,95.35854545454544,706.8414767360686,39.26897092978159,65.35854545454545,159.8805169906824,501.734377261942,27.874132070107887,155,ok,,175.3561496734619,173.73228073120117,175.82988739013672,106.0035228729248,False
prefill_token_power_modeling_1777904889,40,40,4,generated,1777905128.068275,1777905131.1194923,3051.2173175811768,70.92609516409941,block,43,43,0,2,30,100,170.5143791275767,215.214,215.728,215.728,60.386,203.25246017699115,215.351,215.728,113,0.738562091503268,95.35854545454544,520.2764264906643,12.09945177885266,65.35854545454545,105.15583367303124,320.8533007478387,7.461704668554389,151,ok,,74.4330883026123,70.46151161193848,74.4330883026123,41.23878479003906,False
prefill_token_power_modeling_1777904889,1,1,5,generated,1777905133.4889746,1777905136.502359,3013.3841037750244,70.04448979399925,block,43,43,0,2,30,100,165.68928091448976,210.678,210.921,210.921,58.768,200.3319074074074,210.85,210.921,108,0.7152317880794702,95.35854545454544,499.285445273638,11.611289424968325,65.35854545454545,100.33073545994432,302.3350433550533,7.031047519884961,149,ok,,73.54402542114258,69.73648071289062,73.54402542114258,12.167930603027344,False
prefill_token_power_modeling_1777904889,15000,15000,2,generated,1777905148.485561,1777905156.199222,7713.661432266235,2571.002960205078,block,3,3,0,2,3,5,297.11017060003,299.246,303.041,303.9,289.199,297.12975260416664,299.246,303.041,384,1.0,95.35854545454544,2291.8072640914925,763.9357546971642,65.35854545454545,231.75162514548447,1787.6535727497455,595.8845242499152,382,ok,,2571.541309356689,2570.199012756348,2571.541309356689,4612.707138061523,False
prefill_token_power_modeling_1777904889,2,2,3,generated,1777905158.565935,1777905161.5837524,3017.817497253418,70.15016467072243,block,43,43,0,2,30,100,172.03756126550883,213.637,214.164,214.164,60.926,204.01133035714287,213.729,214.164,112,0.7417218543046358,95.35854545454544,519.1779625718594,12.073906106322312,65.35854545454545,106.67901581096338,321.9378005040993,7.486925593118588,149,ok,,70.56331634521484,69.72599029541016,70.92666625976562,10.120868682861328,False
prefill_token_power_modeling_1777904889,1792,1785,2,generated,1777905164.5892198,1777905167.8339503,3244.7304725646973,294.9095639315519,block,11,11,0,2,10,30,261.27322933404184,290.834,294.631,294.631,86.907,275.5446375838926,290.834,294.631,149,0.9197530864197532,95.35854545454544,847.7612088855501,77.06920080777728,65.35854545454545,195.9146838794964,635.6903448066817,57.790031346061966,160,ok,,293.7023639678955,293.2822704315185,295.63379287719727,198.4701156616211,False
prefill_token_power_modeling_1777904889,768,768,3,generated,1777905170.4627054,1777905173.4725313,3009.8259449005127,158.36095809936523,block,19,19,0,2,10,30,231.98694098351385,276.486,277.184,277.302,70.827,255.5149007633588,276.486,277.302,131,0.8675496688741722,95.35854545454544,698.240313850284,36.74949020264653,65.35854545454545,166.62839552896838,501.5224680202337,26.39591936948598,149,ok,,158.38885307312012,157.6094627380371,159.38305854797363,87.46480941772461,False
prefill_token_power_modeling_1777904889,352,352,5,generated,1777905176.0258806,1777905179.1657696,3139.889001846313,104.61586316426596,block,30,30,0,2,30,100,205.81072350599464,262.018,262.667,262.667,57.233,222.9197021276596,262.018,262.667,141,0.8924050632911392,95.35854545454544,646.2228271985051,21.54076090661684,65.35854545454545,140.4521780514492,441.0042491491055,14.700141638303515,156,ok,,103.69014739990234,103.69014739990234,105.64351081848145,123.96001815795898,False
prefill_token_power_modeling_1777904889,4,4,3,generated,1777905181.544665,1777905184.605604,3060.938596725464,71.15236548490303,block,43,43,0,2,30,100,167.09615778847964,207.851,208.723,208.723,58.348,199.58080530973453,208.251,208.723,113,0.7337662337662337,95.35854545454544,511.47107873928553,11.894676249750828,65.35854545454545,101.7376123339342,311.4125843316317,7.242153123991435,152,ok,,70.93930244445801,70.05929946899414,73.8987922668457,16.79372787475586,False
prefill_token_power_modeling_1777904889,256,256,4,generated,1777905187.1216006,1777905190.148581,3026.980400085449,86.44747734069824,block,35,35,0,2,30,100,199.167911532902,253.698,255.17,255.17,58.103,238.25428695652172,254.567,255.17,115,0.756578947368421,95.35854545454544,602.8773645360471,17.225067558172775,65.35854545454545,133.80936607835656,405.03832846704415,11.572523670486976,150,ok,,89.67041969299316,85.74056625366211,89.67041969299316,115.91672897338869,False
prefill_token_power_modeling_1777904889,24,24,1,generated,1777905192.5484824,1777905195.5825186,3034.036159515381,70.52833534950433,block,43,43,0,2,30,100,167.02550339046988,211.258,211.943,211.943,58.652,200.1836036036036,211.27,211.943,111,0.7302631578947368,95.35854545454544,506.7614168479444,11.785149229021965,65.35854545454545,101.66695793592444,308.46122660552385,7.17351689780288,150,ok,,70.39666175842285,70.03235816955566,71.07901573181152,36.37099266052246,False
prefill_token_power_modeling_1777904889,96,96,2,generated,1777905198.0257094,1777905201.0825844,3056.874990463257,74.52302444271925,block,41,41,0,2,30,100,177.08918746768606,225.707,227.889,227.889,57.53,213.9384107142857,226.84,227.889,112,0.7320261437908496,95.35854545454544,541.3395082514287,13.203402640278748,65.35854545454545,111.7306420131406,341.5466052383728,8.33040500581397,151,ok,,78.10711860656738,73.7454891204834,83.95791053771973,76.12848281860352,False
prefill_token_power_modeling_1777904889,2,2,2,generated,1777905203.4585285,1777905206.471684,3013.155698776245,70.04463395407033,block,43,43,0,2,30,100,163.02780934015274,209.599,209.986,210.203,56.647,199.37828037383176,209.623,210.203,107,0.7086092715231788,95.35854545454544,491.2281727722884,11.423910994704382,65.35854545454545,97.6692638856073,294.2926990721985,6.844016257492989,149,ok,,73.93884658813477,69.67473030090332,73.93884658813477,16.001224517822266,False
prefill_token_power_modeling_1777904889,48,48,4,generated,1777905208.894498,1777905211.9323697,3037.8713607788086,70.61498109684435,block,43,43,0,2,30,100,164.98193267540992,215.594,216.494,216.629,55.88,205.14497142857144,216.002,216.602,105,0.6862745098039216,95.35854545454544,501.1938883205653,11.655671821408497,65.35854545454545,99.62338722086449,302.6430349020417,7.038210114000969,151,ok,,73.36807250976562,70.18446922302246,73.36807250976562,62.87503242492676,False
prefill_token_power_modeling_1777904889,448,448,5,generated,1777905214.5728807,1777905218.1264763,3553.595781326294,118.4083620707194,block,30,30,0,2,30,100,225.08723269227403,266.101,266.606,266.606,56.676,239.53340490797547,266.101,266.606,163,0.9157303370786516,95.35854545454544,799.8690405256749,26.66230135085583,65.35854545454545,159.7286872377286,567.6111891247793,18.920372970825976,176,ok,,118.60275268554688,117.73395538330078,119.34828758239746,176.527738571167,False
prefill_token_power_modeling_1777904889,224,224,4,generated,1777905220.6573846,1777905223.6744826,3017.097949981689,86.16612298148019,block,35,35,0,2,30,100,196.79245759230665,249.857,250.516,250.516,58.334,233.43103418803415,250.382,250.516,117,0.7697368421052632,95.35854545454544,593.7421203736069,16.964060582103055,65.35854545454545,131.43391213776118,396.5489868689127,11.329971053397506,150,ok,,91.73989295959473,85.51359176635742,91.73989295959473,134.58251953125,False
prefill_token_power_modeling_1777904889,48,48,1,generated,1777905226.087578,1777905229.1222217,3034.6434116363525,70.53854853607888,block,43,43,0,2,30,100,173.15692487545584,215.319,215.83,215.83,57.928,204.63926315789476,215.572,215.83,114,0.75,95.35854545454544,525.4695212525129,12.220221424477044,65.35854545454545,107.7983794209104,327.12964189474144,7.607666090575382,150,ok,,73.13179969787598,70.10412216186523,73.13179969787598,52.886247634887695,False
