full_repeat,strategy,query_count,target_input_tokens,actual_input_tokens,batch_repeat,power_limit,actual_power_limit,avg_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_e2e_ms,avg_power_w,total_energy_j,peak_power_w,num_requests,group_median_ttft_ms,group_mad_ttft_ms,ttft_deviation_ratio,is_suspicious,suspicious_reason
1,prefill_token_fit_plus25w,103,6053,5958,18,310,310.0,1502.3511360733978,1615.7415681518614,2013.4939128067344,2046.256898092106,1548.4281490077672,184.02322727272727,457.077581818624,262.526,103,782.6226821205425,15.167613181475417,1.9196365891194551,True,ttft_outlier_vs_group
1,prefill_token_fit_plus25w,103,6053,5991,27,310,310.0,1321.0807480957828,1336.3240789622068,1782.670104689896,1793.890354577452,1372.607325163028,208.35614285714288,418.19168594145776,282.415,103,782.6226821205425,15.167613181475417,1.6880174549966658,True,ttft_outlier_vs_group
1,prefill_token_fit_plus25w,103,6053,5966,37,310,310.0,1358.260047879721,1414.388983976096,1783.4515317343175,1797.8608312178403,1389.5293754860036,186.36345098039217,408.9206908554751,262.247,103,782.6226821205425,15.167613181475417,1.7355234890451547,True,ttft_outlier_vs_group
1,prefill_manual_buckets,32,1581,1546,48,220,220.0,905.5749341787304,902.5213138666004,1110.793812922202,1112.2889283206314,927.194529751432,124.106625,155.4672559634149,156.671,32,412.6381768801366,18.423190580506343,2.194598039923442,True,ttft_outlier_vs_group
1,prefill_manual_buckets,64,2175,2093,14,220,220.0,920.6493044403032,1066.1210035905242,1563.6972686043005,1582.8182133752853,940.5173501072568,93.25511111111112,163.60596790568036,143.324,64,507.5387738943391,30.9654230477463,1.8139487105116558,True,ttft_outlier_vs_group
1,prefill_manual_buckets,64,2175,2091,31,220,220.0,1103.9213574622408,1077.651889063418,1349.3380286730826,1373.0615289928392,1134.2007585481042,133.02908333333332,220.36890644409257,141.977,64,507.5387738943391,30.9654230477463,2.1750483199379333,True,ttft_outlier_vs_group
1,prefill_manual_buckets,64,2175,2106,49,220,220.0,1145.01750565978,1251.6434176359326,1414.484867383726,1434.7037544334307,1166.2719885935076,92.14064285714286,146.94572106245587,147.457,64,507.5387738943391,30.9654230477463,2.256019765493135,True,ttft_outlier_vs_group
1,prefill_manual_buckets,103,6053,6012,6,260,260.0,1450.527720646119,1431.005598977208,2015.3355623129755,2042.0840034820144,1481.7852980222156,167.2341607142857,409.85699292099474,244.342,103,794.9480143922733,15.75656134400117,1.8246824878920256,True,ttft_outlier_vs_group
1,prefill_manual_buckets,103,6053,5949,15,260,260.0,1345.76668598445,1249.5767627842724,2059.327923320234,2152.0140244904906,1369.7375767520691,152.10087037037036,360.26019410228287,263.169,103,794.9480143922733,15.75656134400117,1.6928989841093822,True,ttft_outlier_vs_group
1,prefill_manual_buckets,103,6053,5936,24,260,260.0,1305.706794658513,1343.9204320311546,1865.689359093085,1896.6102078184483,1336.9986612928435,157.3210566037736,362.3896066085528,260.277,103,794.9480143922733,15.75656134400117,1.642505888459521,True,ttft_outlier_vs_group
